trials,full_sentence,last_word,meaningful,CoRT_descript,cloze_descript,block_num,spelling_modified,display,cloze_probability,original_dataset,CoRT_mean,CoRT_std,word_count,condition_name
6,Clay|refused|to|settle|down|and|buy|his|own,scared,FALSE,strong non-CoRT,low cloze,1,no,trial,0.47,peele,1.8,0.8366600265,9,hard
7,The|patient's|broken|arm|took|awhile|to,heal,TRUE,strong non-CoRT,high cloze,1,no,trial,0.88,peele,1.8,0.8366600265,7,easy
8,"After|Grace|slipped|on|the|floor,|she|bought|a",wind,FALSE,strong CoRT,low cloze,1,no,trial,0.45,peele,4,1.414213562,9,hard
9,The|tourists|enjoyed|looking|at|the|scenic,joke,FALSE,strong non-CoRT,low cloze,1,no,trial,0.39,peele,1.75,0.9574271078,7,hard
10,I|had|no|key|to|open|the|locked,work,FALSE,strong non-CoRT,high cloze,1,no,trial,0.89,block_baldwin,2,1.154700538,8,easy
11,When|the|alarm|rang|the|firefighter|slid|down|the,pole,TRUE,strong CoRT,high cloze,1,no,trial,0.94,block_baldwin,4.428571429,1.511857892,9,easy
12,"When|the|building|came|down,|there|was|a|loud",crash,TRUE,strong CoRT,low cloze,1,no,trial,0.49,peele,4.25,0.5,9,hard
13,Although|Keith|bowled|well|he|did|not|have|the|highest,score,TRUE,strong non-CoRT,high cloze,1,no,trial,0.94,block_baldwin,2,1.154700538,10,easy
14,At|recess|the|younger|children|usually|play,tag,TRUE,strong CoRT,low cloze,1,no,trial,0.42,peele,4.2,0.8366600265,7,hard
15,The|boy|screamed|after|he|was|stung|by|a,cheer,FALSE,strong CoRT,high cloze,1,no,trial,0.81,peele,4.2,0.8366600265,9,easy
16,Ellen|replaced|the|fuse|that|no|longer,worked,TRUE,strong CoRT,high cloze,1,no,trial,0.86,block_baldwin,4.142857143,0.8997354108,7,easy
17,"When|the|two|met,|one|of|them|held|out|his",hand,TRUE,strong CoRT,high cloze,1,no,trial,0.95,block_baldwin,4,1,10,easy
18,There|is|a|bit|of|cyanide|in|each|apple,horse,FALSE,strong non-CoRT,low cloze,1,no,trial,0.48,peele,2,1.414213562,9,hard
19,Kyle|carefully|scooped|the|honey|out|of|the,jar,TRUE,strong CoRT,low cloze,1,no,trial,0.5,peele,4.6,0.5477225575,8,hard
20,She|did|not|have|the|right|key|for|the,lock,TRUE,strong non-CoRT,low cloze,1,no,trial,0.44,block_baldwin,1.166666667,0.4082482905,9,hard
21,"During|the|earthquake,|many|of|the|small|buildings",collapsed,TRUE,strong CoRT,low cloze,1,no,trial,0.39,peele,4,0,8,hard
22,The|crazy|old|lady|was|thought|of|as|a,witch,TRUE,strong non-CoRT,low cloze,1,no,trial,0.45,peele,1.666666667,1.211060142,9,hard
23,The|building|isn't|for|sale|but|it's|available|to,mold,FALSE,strong non-CoRT,high cloze,1,no,trial,0.81,peele,1.25,0.5,9,easy
24,Ian's|favorite|pie|was|either|apple|or,mail,FALSE,strong non-CoRT,low cloze,1,no,trial,0.43,peele,1.25,0.5,7,hard
25,Bill|jumped|in|the|lake|and|made|a|big,wife,FALSE,strong CoRT,high cloze,1,no,trial,0.92,block_baldwin,4.857142857,0.377964473,9,easy
26,"To|avoid|hitting|her|head,|she|had|to",duck,TRUE,strong CoRT,high cloze,1,no,trial,0.85,peele,4.5,0.5773502692,8,easy
27,Everyone|thought|the|pasta|dish|needed|more,salt,TRUE,strong non-CoRT,low cloze,1,no,trial,0.31,peele,2,0.7071067812,7,hard
28,The|rambunctious|dog|pulled|and|tugged|against|the,bake,FALSE,strong CoRT,low cloze,1,no,trial,0.49,peele,5,0,8,hard
29,"After|washing|his|hands,|Brandon|dried|them|with|a",towel,TRUE,strong CoRT,high cloze,1,no,trial,0.96,peele,4,0.8164965809,9,easy
30,Marcus|struggled|to|build|a|birdhouse|even|with|the,real,FALSE,strong CoRT,low cloze,1,no,trial,0.39,peele,4.8,0.4472135955,9,hard
31,"The|simple,|fun|camp|game|soon|escalated|into|a",fight,TRUE,strong CoRT,low cloze,1,no,trial,0.5,peele,4.4,0.5477225575,9,hard
32,His|favorite|place|to|relax|is|on|the,fin,FALSE,strong non-CoRT,low cloze,1,no,trial,0.41,peele,1.4,0.5477225575,8,hard
33,Ana|accidentally|tripped|and|fell|down|the,stairs,TRUE,strong CoRT,high cloze,1,no,trial,0.88,block_baldwin,4.285714286,1.496026483,7,easy
34,The|woman's|earring|was|a|small|silver,hoop,TRUE,strong non-CoRT,low cloze,1,no,trial,0.32,peele,1.8,1.095445115,7,hard
35,He|blew|out|his|cigarette|smoke|in|a|small,puff,TRUE,strong CoRT,low cloze,1,no,trial,0.34,peele,4.75,0.5,9,hard
36,Jenny|lit|the|candles|on|the|birthday,said,FALSE,strong CoRT,high cloze,1,no,trial,0.94,block_baldwin,4.285714286,1.496026483,7,easy
37,"According|to|the|Bible,|murder|is|a",sin,TRUE,strong non-CoRT,high cloze,1,no,trial,0.96,peele,2,0.8164965809,7,easy
38,Don't|believe|everything|you,hear,TRUE,strong non-CoRT,high cloze,1,no,trial,0.82,block_baldwin,1.571428571,1.133893419,4,easy
39,Patrick|did|not|think|Kayla|was|worth|fighting,music,FALSE,strong non-CoRT,high cloze,1,no,trial,0.8,peele,1.4,0.5477225575,8,easy
40,Sally|heard|that|our|new|teacher|was|impossible|to,please,TRUE,strong non-CoRT,low cloze,1,no,trial,0.48,peele,1.2,0.4472135955,9,hard
41,After|the|recital|she|faced|the|audience|and|took|a,float,FALSE,strong CoRT,high cloze,1,no,trial,0.89,block_baldwin,4.142857143,1.069044968,10,easy
42,Kennedy|told|her|mom|she|felt|stuck|in|a,rut,TRUE,strong non-CoRT,high cloze,1,no,trial,0.87,peele,2,1,9,easy
43,"After|driving|over|sharp|glass,|Ronald|had|a|flat",tire,TRUE,strong CoRT,high cloze,1,no,trial,1,peele,4.4,0.894427191,9,easy
44,It|was|announced|that|the|two|companies|would,merge,TRUE,strong non-CoRT,high cloze,1,yes,trial,0.96,peele,1.25,0.5,9,easy
45,During|the|holidays|it|is|very|expensive|to|book|a,meditate,FALSE,strong non-CoRT,high cloze,1,yes,trial,0.81,block_baldwin,1.857142857,0.8997354108,10,easy
46,"After|the|engine|took|on|water,|the|car|began|to",hair,FALSE,strong CoRT,low cloze,1,yes,trial,0.37,block_baldwin,4,0.632455532,10,hard
47,"To|enter|the|castle,|she|rode|across|a",bridge,TRUE,strong CoRT,low cloze,1,yes,trial,0.4,peele,4.5,0.5773502692,8,hard
48,France|is|a|country|that|is|famous|for,wine,TRUE,strong non-CoRT,low cloze,1,no,trial,0.31,peele,2,1.732050808,8,hard
49,Tammy|was|not|a|gambler|because|she|had|bad,luck,TRUE,strong non-CoRT,high cloze,1,no,trial,0.86,block_baldwin,1.857142857,1.463850109,9,easy
50,"Instead|of|buying|a|new|phone,|Shannon|replaced|the",fool,FALSE,strong CoRT,low cloze,1,no,trial,0.36,peele,4.25,0.5,9,hard
51,His|car|is|huge|so|it's|too|heavy|to,push,TRUE,strong non-CoRT,low cloze,1,no,trial,0.44,peele,2,1.224744871,9,hard
52,"Tired|of|beige|walls,|Ingrid|painted|them|a|bold",red,TRUE,strong CoRT,low cloze,1,no,trial,0.38,peele,4.4,0.894427191,9,hard
53,Weddings|bring|out|excitement|and|general|feelings|of,joy,TRUE,strong non-CoRT,low cloze,1,no,trial,0.34,peele,1.166666667,0.4082482905,8,hard
54,The|gas|station|is|about|two|miles|down|the,road,TRUE,strong non-CoRT,high cloze,1,no,trial,0.88,block_baldwin,1,0,9,easy
55,The|boat|passed|easily|under|the,bridge,TRUE,strong CoRT,high cloze,1,no,trial,0.89,block_baldwin,4,1.414213562,6,easy
56,The|company|said|they|were|looking|to,hire,TRUE,strong non-CoRT,low cloze,1,no,trial,0.37,peele,1.25,0.5,7,hard
57,He|loosened|the|tie|around|his,neck,TRUE,strong CoRT,high cloze,1,no,trial,0.97,block_baldwin,4.428571429,1.511857892,6,easy
58,A|stray|baseball|smacked|an|unsuspecting|walker|in|the,head,TRUE,strong CoRT,low cloze,1,no,trial,0.45,peele,4.2,0.8366600265,9,hard
59,The|woman’s|shirt|was|so|worn|it|had|a,hole,TRUE,strong non-CoRT,high cloze,1,no,trial,0.86,block_baldwin,1.571428571,1.511857892,9,easy
60,"When|the|robber|trapped|Dorothy,|she|began|to",cry,TRUE,strong CoRT,low cloze,1,no,trial,0.37,peele,4.333333333,0.8164965809,8,hard
61,Charles|dunked|the|basketball|through|the,hoop,TRUE,strong CoRT,high cloze,1,no,trial,0.87,block_baldwin,4.428571429,1.511857892,6,easy
63,Dean|dropped|the|cookies|and|had|to|make|a|fresh,batch,TRUE,strong CoRT,high cloze,1,no,trial,0.95,peele,4.8,0.4472135955,10,easy
64,After|missing|lunch|Harry|badly|needed|some,food,TRUE,strong non-CoRT,high cloze,1,no,trial,0.84,peele,2,1.414213562,7,easy
62,The|elementary|school|girl|loved|to|hula,hoop,TRUE,strong non-CoRT,high cloze,1,no,trial,0.83,peele,1.8,0.8366600265,7,easy
65,,,,,,,,break,,,,,,
0,The|teacher|was|afraid|of|germs|and|getting,mutt,FALSE,strong non-CoRT,high cloze,2,no,trial,0.92,peele,1.8,1.303840481,8,easy
1,The|man|presented|his|new|fiancée|with|an|expensive,due,FALSE,strong CoRT,high cloze,2,no,trial,0.81,block_baldwin,4,1.414213562,9,easy
2,Andrew's|favorite|type|of|fruit|is|the,apple,TRUE,strong non-CoRT,low cloze,2,no,trial,0.31,peele,1.666666667,0.5773502692,7,hard
3,The|vacuum's|defects|affected|its|ability|to,clean,TRUE,strong non-CoRT,low cloze,2,no,trial,0.38,peele,1,0,7,hard
4,Rachel|missed|her|appointment|after|writing|down|the|wrong,address,TRUE,strong CoRT,low cloze,2,no,trial,0.36,peele,4,1,9,hard
5,"For|a|runner,|Ted|is|rather",hook,FALSE,strong non-CoRT,low cloze,2,yes,trial,0.5,block_baldwin,1.833333333,1.169045194,6,hard
6,Jamie|preferred|to|use|cooking|foil|made|of,aluminum,TRUE,strong non-CoRT,high cloze,2,no,trial,0.81,peele,1.5,1,8,easy
7,"In|woodshop,|Alex|smoothed|the|baseball|bat|with|the",lettuce,FALSE,strong CoRT,low cloze,2,no,trial,0.32,peele,4.75,0.5,9,hard
8,Spaghetti|is|the|girl's|favorite|type|of,tang,FALSE,strong non-CoRT,low cloze,2,no,trial,0.49,peele,1.6,0.5477225575,7,hard
9,"John|felt|sorry,|but|it|was|not|his",brake,FALSE,strong non-CoRT,high cloze,2,no,trial,0.91,block_baldwin,1.714285714,1.496026483,8,easy
10,"After|she|bought|the|dress,|she|ripped|off|its",tag,TRUE,strong CoRT,high cloze,2,yes,trial,0.81,peele,4.8,0.4472135955,9,easy
11,"The|toddler|enjoyed|feeding|bread|to|the|fat,|white",duck,TRUE,strong CoRT,low cloze,2,no,trial,0.5,peele,4.5,0.5773502692,9,hard
12,Spring|was|Jo’s|favorite|season|of|the,year,TRUE,strong non-CoRT,high cloze,2,no,trial,0.94,block_baldwin,1.428571429,1.133893419,7,easy
13,The|baby's|ice|cream|was|snatched|up|by|the,dog,TRUE,strong CoRT,low cloze,2,no,trial,0.47,peele,4.5,0.5773502692,9,hard
14,The|farmer|spends|the|morning|milking|his,legs,FALSE,strong CoRT,high cloze,2,yes,trial,0.94,block_baldwin,4.285714286,1.496026483,7,easy
15,The|thief|ran|by|and|snatched|the|lady’s,purse,TRUE,strong CoRT,high cloze,2,no,trial,0.87,block_baldwin,4.428571429,1.511857892,8,easy
16,She|threw|away|the|old|paper|in|the,trash,TRUE,strong CoRT,high cloze,2,no,trial,0.89,block_baldwin,4.142857143,1.463850109,8,easy
17,They|believe|the|most|pious|man|is|the,blanket,FALSE,strong non-CoRT,low cloze,2,no,trial,0.38,peele,2,1.414213562,8,hard
18,"After|returning|home,|Sharon|hung|her|jacket|on|the",hook,TRUE,strong CoRT,low cloze,2,no,trial,0.43,peele,4.8,0.4472135955,9,hard
19,Meg|hated|that|cleaning|the|bathroom|was|her,chore,TRUE,strong non-CoRT,low cloze,2,no,trial,0.47,peele,1.75,0.9574271078,8,hard
20,The|captain|steered|the|ship|and|narrowly|avoided|the,iceberg,TRUE,strong CoRT,low cloze,2,no,trial,0.34,peele,4.75,0.5,9,hard
21,Many|women|are|very|conscious|of|their,weight,TRUE,strong non-CoRT,low cloze,2,no,trial,0.32,peele,1.4,0.5477225575,7,hard
22,The|little|girl|was|very|afraid|of|the,leg,FALSE,strong non-CoRT,high cloze,2,no,trial,0.81,block_baldwin,1.857142857,1.069044968,8,easy
23,The|villagers|had|never|ventured|out|of|the,stare,FALSE,strong non-CoRT,low cloze,2,no,trial,0.32,peele,1.2,0.4472135955,8,hard
24,"After|receiving|bad|news,|the|patient|began|to",steroids,FALSE,strong CoRT,high cloze,2,no,trial,0.83,peele,4.166666667,0.9831920803,8,easy
25,The|officer|barged|in|and|quickly|flashed|his,badge,TRUE,strong CoRT,high cloze,2,no,trial,0.81,peele,4.75,0.5,8,easy
26,A|black|European|crow|is|sometimes|called|a,raven,TRUE,strong non-CoRT,low cloze,2,no,trial,0.42,peele,1.5,1,8,hard
27,Frank|read|by|the|fireplace|while|his|grandmother,reach,FALSE,strong CoRT,low cloze,2,no,trial,0.4,peele,4.4,0.894427191,8,hard
28,When|she|got|out|of|the|car|she|closed|the,door,TRUE,strong CoRT,high cloze,2,no,trial,0.95,block_baldwin,4,1.414213562,10,easy
29,The|child|looked|outside|and|watched|the|flying,cry,FALSE,strong CoRT,low cloze,2,no,trial,0.4,peele,4,0.7071067812,8,hard
30,They|broke|into|the|store|and|began|to,steal,TRUE,strong CoRT,low cloze,2,no,trial,0.42,peele,4.6,0.5477225575,8,hard
31,Larry's|motto|was|always|do|what|you,gone,FALSE,strong non-CoRT,low cloze,2,no,trial,0.5,peele,1.25,0.5,7,hard
32,The|dog|ran|inside|just|before|it|started|to,rain,TRUE,strong CoRT,high cloze,2,no,trial,0.82,peele,4.2,0.8366600265,9,easy
33,Many|people|will|carry|important|items|in|a,bag,TRUE,strong non-CoRT,low cloze,2,no,trial,0.37,peele,1.5,1,8,hard
34,"Before|placing|each|brick,|he|applied|a|glob|of",cement,TRUE,strong CoRT,low cloze,2,yes,trial,0.46,peele,4.666666667,0.5773502692,9,hard
35,"When|Jen|showed|the|treat,|Maggie's|tail|began|to",map,FALSE,strong CoRT,high cloze,2,no,trial,0.96,peele,4,0.8164965809,9,easy
36,For|breakfast|Jim|wanted|bacon|and,eggs,TRUE,strong non-CoRT,high cloze,2,no,trial,0.91,block_baldwin,1.428571429,0.7867957925,6,easy
37,I|could|not|remember|his,name,TRUE,strong non-CoRT,high cloze,2,no,trial,0.92,block_baldwin,1,0,5,easy
38,The|new|officer|was|of|a|higher,pencils,FALSE,strong non-CoRT,high cloze,2,no,trial,0.81,block_baldwin,1.285714286,0.755928946,7,easy
39,There|was|not|room|for|the|triplets|in|the,car,TRUE,strong non-CoRT,low cloze,2,no,trial,0.34,peele,2,0.8164965809,9,hard
40,George|sprinted|out|the|door|because|he|was|in|a,bump,FALSE,strong CoRT,high cloze,2,no,trial,0.87,peele,4,0.8164965809,10,easy
41,"At|the|rock|concert,|the|music|was|extremely",loud,TRUE,strong non-CoRT,high cloze,2,no,trial,0.98,peele,1.833333333,0.9831920803,8,easy
42,The|knight|prepared|for|battle|and|drew|his,sword,TRUE,strong CoRT,high cloze,2,yes,trial,0.91,block_baldwin,4.142857143,1.463850109,8,easy
43,Ollie|was|tired|of|the|radio|playing|the|same,songs,TRUE,strong non-CoRT,high cloze,2,no,trial,0.84,peele,1.75,0.9574271078,9,easy
44,"An|almond|is|a|type|of|seed,|not|a",plan,FALSE,strong non-CoRT,high cloze,2,no,trial,0.87,peele,1.5,1,9,easy
45,Helen|removed|the|paint|from|her|face|with|a,sin,FALSE,strong CoRT,low cloze,2,no,trial,0.33,peele,4.8,0.4472135955,9,hard
46,His|brand|new|soccer|ball|landed|in|the,mud,TRUE,strong CoRT,low cloze,2,yes,trial,0.34,peele,4,1.732050808,8,hard
47,Quinn|was|surprised|that|Mariah|didn't|believe|in,god,TRUE,strong non-CoRT,low cloze,2,no,trial,0.43,peele,1.8,0.8366600265,8,hard
48,Chocolate|is|made|from|the|roasted|cacao,bean,TRUE,strong non-CoRT,high cloze,2,no,trial,0.84,peele,1.8,0.4472135955,7,easy
49,The|princess|was|pulled|onto|the|horse|by|the,dead,FALSE,strong CoRT,low cloze,2,no,trial,0.37,peele,4.4,0.894427191,9,hard
50,The|heavy|box|had|both|a|large|volume|and,weight,TRUE,strong non-CoRT,low cloze,2,no,trial,0.38,peele,1.6,1.341640786,9,hard
51,Barb|pulled|her|sleeve|back|to|reveal|a|big,bruise,TRUE,strong CoRT,low cloze,2,no,trial,0.39,peele,4.5,0.5773502692,9,hard
52,It|is|painful|to|have|diseases|like,cancer,TRUE,strong non-CoRT,low cloze,2,no,trial,0.36,peele,1,0,7,hard
53,Chris|said|his|dog|had|always|been|his|best,friend,TRUE,strong non-CoRT,high cloze,2,no,trial,0.95,peele,1.75,1.5,9,easy
54,Her|left|hand|was|freezing|after|she|lost|her,glove,TRUE,strong CoRT,high cloze,2,no,trial,0.8,peele,4.4,0.5477225575,9,easy
55,The|boy|won|the|chess|competition|by|using|his,brain,TRUE,strong non-CoRT,low cloze,2,no,trial,0.36,peele,1.75,0.9574271078,9,hard
56,Father|carved|the|turkey|with|a,knife,TRUE,strong CoRT,high cloze,2,no,trial,0.95,block_baldwin,4.285714286,1.496026483,6,easy
57,Abby|stuck|his|picture|to|her|wall|with|a,tack,TRUE,strong CoRT,low cloze,2,no,trial,0.46,peele,4.333333333,0.5773502692,9,hard
58,American|Presidents|are|limited|to|serving|a|period|of|eight,years,TRUE,strong non-CoRT,high cloze,2,no,trial,0.84,block_baldwin,1.142857143,0.377964473,10,easy
59,"Everyday|during|recess,|the|children|would|play",tag,TRUE,strong CoRT,low cloze,2,no,trial,0.41,peele,4,1.224744871,7,hard
60,The|bride|smiled|as|she|walked|down|the,aisle,TRUE,strong CoRT,high cloze,2,no,trial,0.88,block_baldwin,4.285714286,1.112697281,8,easy
61,George|must|keep|his|pet|on|a,leash,TRUE,strong non-CoRT,high cloze,2,no,trial,0.9,block_baldwin,1.714285714,0.755928946,7,easy
62,The|kitten|played|with|the|ball|of,yarn,TRUE,strong CoRT,high cloze,2,no,trial,0.94,block_baldwin,4,1.527525232,7,easy
63,None|of|his|books|made|any,sense,TRUE,strong non-CoRT,high cloze,2,no,trial,0.87,block_baldwin,1.571428571,1.511857892,6,easy
64,,,,,,,,break,,,,,,
0,Bradley|prefers|cats|over,catch,FALSE,strong non-CoRT,high cloze,3,no,trial,0.91,block_baldwin,1.142857143,0.377964473,4,easy
1,"After|receiving|a|treat,|the|dog's|tail|began|to",work,FALSE,strong CoRT,high cloze,3,no,trial,0.98,peele,4.25,0.5,9,easy
2,One|must|take|time|out|of|every|day|to,relax,TRUE,strong non-CoRT,low cloze,3,no,trial,0.36,peele,1,0,9,hard
3,For|a|small|horse|she|has|a|very|long,tail,TRUE,strong non-CoRT,low cloze,3,no,trial,0.47,peele,1.8,1.303840481,9,hard
4,He|used|his|skateboard|to|grind|along|the,rails,TRUE,strong CoRT,low cloze,3,no,trial,0.38,peele,4.5,0.5773502692,8,hard
5,Some|clothing|types|don't|last|long|because|they|easily,eat,FALSE,strong non-CoRT,low cloze,3,no,trial,0.44,peele,2,1.224744871,9,hard
6,Her|new|shoes|were|the|wrong,size,TRUE,strong non-CoRT,high cloze,3,no,trial,0.91,block_baldwin,1.428571429,1.133893419,6,easy
7,The|screaming|little|girl|made|the|sitter|very,loose,FALSE,strong CoRT,low cloze,3,no,trial,0.33,peele,4.2,0.8366600265,8,hard
8,It|seemed|like|the|girl|was|always|running,argue,FALSE,strong non-CoRT,low cloze,3,no,trial,0.41,peele,1.75,0.9574271078,8,hard
9,He|had|a|long|day|and|was|in|a|bad,lure,FALSE,strong non-CoRT,high cloze,3,no,trial,0.95,block_baldwin,1.857142857,1.573591585,10,easy
10,The|box|landed|on|the|ground|with|a|dull,thud,TRUE,strong CoRT,high cloze,3,no,trial,0.85,peele,4.25,0.9574271078,9,easy
11,The|crowd|became|rowdy|after|drinking|too|much|sweet,wine,TRUE,strong CoRT,low cloze,3,no,trial,0.32,peele,4.6,0.5477225575,9,hard
12,Drivers|should|keep|your|eyes|on|the,road,TRUE,strong non-CoRT,high cloze,3,yes,trial,0.92,block_baldwin,1.857142857,0.8997354108,7,easy
13,"Distracted|while|driving,|Maya|got|stuck|in|the|sticky",mud,TRUE,strong CoRT,low cloze,3,no,trial,0.46,peele,4,1.224744871,9,hard
14,"While|cooking,|Luke|accidentally|cut|himself|with|a",flavor,FALSE,strong CoRT,high cloze,3,no,trial,0.96,peele,4.2,0.8366600265,8,easy
15,He|climbed|a|ladder|in|order|to|reshingle|the,roof,TRUE,strong CoRT,high cloze,3,no,trial,0.86,block_baldwin,4.142857143,1.463850109,9,easy
16,"After|raking|the|yard,|Pat|jumped|into|the|pile|of",leaves,TRUE,strong CoRT,high cloze,3,no,trial,0.92,block_baldwin,4.571428571,0.7867957925,10,easy
17,Bob|planned|to|reopen|the|restaurant|in|the,eaten,FALSE,strong non-CoRT,low cloze,3,no,trial,0.38,peele,2,1.224744871,8,hard
18,Andy|reached|the|curb|and|told|the|dog|to,sit,TRUE,strong CoRT,low cloze,3,no,trial,0.42,peele,4,1.414213562,9,hard
19,Mary|agreed|that|a|popsicle|would|be|the|right,treat,TRUE,strong non-CoRT,low cloze,3,no,trial,0.41,peele,2,1,9,hard
20,The|evil|witch|eyed|the|young|princess|with|a,glare,TRUE,strong CoRT,low cloze,3,no,trial,0.31,peele,4.4,0.894427191,9,hard
21,"To|relax|herself,|she|liked|to|listen|to|smooth",jazz,TRUE,strong non-CoRT,low cloze,3,no,trial,0.47,block_baldwin,1.833333333,0.4082482905,9,hard
22,"To|prevent|football|injury,|all|players|must|wear|shoulder",cry,FALSE,strong non-CoRT,high cloze,3,no,trial,0.96,block_baldwin,1.571428571,0.9759000729,9,easy
23,To|cook|a|meal|you|will|surely|need|a,skin,FALSE,strong non-CoRT,low cloze,3,no,trial,0.44,peele,1.75,0.9574271078,9,hard
24,The|cop|entered|the|building|and|showed|his,fin,FALSE,strong CoRT,high cloze,3,no,trial,0.92,peele,4.25,0.5,8,easy
25,"During|the|hike,|Lila's|feet|hurt|more|with|each",step,TRUE,strong CoRT,high cloze,3,no,trial,0.98,peele,4,1,9,easy
26,The|villagers|lived|their|lives|as|simple,people,TRUE,strong non-CoRT,low cloze,3,no,trial,0.4,peele,2,1,7,hard
27,"Angry|at|the|late|employee,|Brandon|began|to",lawn,FALSE,strong CoRT,low cloze,3,no,trial,0.5,peele,4.166666667,1.329160136,8,hard
28,"At|the|show,|all|the|animals|jumped|through|a",hoop,TRUE,strong CoRT,high cloze,3,no,trial,0.94,peele,4.2,0.8366600265,9,easy
29,The|beautiful|woman|in|the|story|turned|into|a,womb,FALSE,strong CoRT,low cloze,3,no,trial,0.44,peele,4,1.264911064,9,hard
30,Greta|quickly|woke|after|Jess|gave|her|a|painful,pinch,TRUE,strong CoRT,low cloze,3,no,trial,0.39,peele,4.5,0.5773502692,9,hard
